name,number sold,highest bid,lowest ask
Jordan 8 Retro Doernbecher,197,$700,$480
Vans Sk8-Hi Supreme Black Checker Logo,14,$301,$499
"Asics Gel-Lyte III Ronnie Fieg ""Flamingo""",10,$650,$569
Air Max Lunar90 SP Moon Landing,79,$675,$590
"Asics Gel-Lyte III Ronnie Fieg ""Homage"" (Special Box)",19,$602,$600
"Air More Uptempo Supreme ""Suptempo"" Red",1232,"$1,083",$630
Jordan 12 Retro OVO White,257,$750,$650
Air Presto Acronym Olive,71,$860,$680
Foamposite One Supreme NYC Red,101,$710,$699
adidas NMD Pharrell HU Hue Man Tangerine,256,"$1,480",$700
Jordan 2 Retro Just Don Blue,136,$800,$720
adidas NMD R1 Bape Olive Camo,242,"$1,101",$750
Foamposite One Supreme NYC Black,113,$820,$790
adidas Ultra Boost 1.0 SNS Tee Time,86,$999,$888
Nike Dunk SB Low Supreme NY White Cement (2002),12,"$1,075","$1,000"
NikeCraft Mars Yard Shoe 2.0 Tom Sachs Space Camp,378,"$2,100","$1,490"
adidas Yeezy Boost 750 OG Light Brown,132,"$2,101","$1,650"
adidas NMD HU Pharrell Y.O.U. N.E.R.D.,78,"$2,350","$2,699"
Air Yeezy 2 Solar Red,51,"$3,811","$4,000"
adidas Human Race NMD Pharrell x Chanel,56,"$9,000","$7,250"
Nike Air MAG Back To The Future (2011),36,None,"$8,250"
Air Max 1 Anniversary Royal (2017),341,$230,$165
Jordan 1 Retro High Camo 3M Bred,59,$225,$190
adidas Nemeziz Tango 17 Ultra Boost Triple Black,214,$130,$199
"Asics GT-II Ronnie Fieg ""High Risk""",1,$380,$205
Puma Disc Blaze Bape Camo Green,40,$250,$220
LeBron 1 Air Zoom Generation Wheat (All-Star),17,$200,$225
Flyknit Trainer Multi-Color,24,$250,$245
Air VaporMax Oreo,176,$330,$260
KD 4 Weatherman,14,$441,$265
adidas NMD Grey Camo,59,$220,$270
"Saucony Shadow 5000 END ""Burger""",9,$385,$300
Nike Dunk SB Low Blue Lobster,12,$291,$300
ACE 16 PureControl Ultra Boost Kith Flamingos,532,$350,$300
Nike Dunk SB Low Stussy Cherry,28,$301,$300
Jordan 4 Retro White Laser,41,$337,$300
Asics Gel-Lyte III Ronnie Fieg Militia (Special Box),78,$400,$315
"Diadora N9000 Packer Shoes x Raekwon ""Purple Tape""",11,$450,$320
New Balance 997.5 Phantaci,2,$200,$330
LeBron 8 V/2 Low Solar Red,13,$300,$330
Diadora Intrepid Kith From Seoul To Rio,15,$360,$340
Jordan 13 OG Flint (1997),5,$286,$348
Air Max 98 Supreme Black,194,$350,$375
Kobe 10 Elite HTM Shark Jaw,50,$425,$375
Jordan 4 Retro Cool Grey,51,$355,$380
Asics Gel-Lyte III Ronnie Fieg Super Green,22,$552,$385
"Asics Gel-Lyte III Ronnie Fieg ""Mint Leaf""",1,$500,$399
"New Balance 999 Concepts ""The Kennedy""",5,$260,$400
Vans Authentic Supreme Blue Checker Logo,5,$260,$425
Jordan 1 Retro Black Royal Blue (2001),36,$402,$425
Vans Authentic Supreme Black Checker Logo,8,$480,$450
Vans Sk8-Hi Fear of God,38,$500,$450
"adidas ZX 5000 UNDFTD x Bape ""Camo""",6,$310,$450
Air Tech Challenge II Wimbledon (2013),2,$300,$488
Reebok Instapump Fury CNCPTS Versace,5,$399,$500
Jordan 12 Retro PSNY Wheat,166,$500,$505
Jordan 3 Retro Doernbecher (2013),31,$625,$525
Air Presto Acronym Bamboo,82,$675,$550
