name,number sold,highest bid,lowest ask
Nike Epic React Flyknit White Racer Blue,276,$190,$170
Kyrie 4 Chinese New Year (2018),347,$180,$170
Air More Uptempo Black Reflective (2018),9,$155,$175
LeBron 15 Ashes,247,$175,$180
Jordan 13 Retro Chris Paul Away,728,$205,$180
Air Max 97 Silver Bullet 2016/2017 (GS),162,$193,$186
Jordan 8 Retro Aqua (2015),2394,$215,$189
Air Max 97 OG Black Volt,547,$252,$190
Air More Uptempo Chicago,316,$201,$190
adidas Yeezy Boost 350 V2 Black Red Infant (I),992,$215,$199
Air Max 98 Gym Red (W),49,$211,$199
Jordan 11 Retro Low Midnight Navy,1344,$212,$200
Air Force 1 Low Taiwan (2018),64,$275,$200
Air Max 98 Fossil (W),83,$230,$204
Jordan 7 Retro Nothing But Net,573,$260,$210
Air Max 97 Ultra 17 Gym Red (W),140,$300,$220
Jordan 1 Retro Mid New Love (2017),4447,$315,$225
Jordan 11 Retro Low Georgetown,1012,$277,$225
Air Max 98 Tour Yellow,410,$220,$225
LeBron 15 Lifestyle KITH City Of Angels,87,$321,$235
Air Max 97 UNDFTD Black,2694,$656,$390
Jordan 11 Retro Cool Grey (2010),572,$401,$405
adidas Futurecraft 4D Ash Green,608,"$1,250",$735
Balenciaga Triple S Black Pink (W),63,"$1,130",$950
adidas Yeezy Boost 350 Pirate Black (2016),1057,"$1,171",$999
KD 10 University Red,75,$90,$84
Vans Slip-On Spongebob White,19,$101,$98
Jordan 2 Retro Alternate 87,676,$150,$99
Air Presto Triple White,27,$100,$99
Vans Sk8-Hi Re-Issue Metallica (2018),64,$135,$100
adidas NMD R1 Sashiko White,514,$125,$102
adidas NMD XR1 Black White,98,$95,$108
Air Force 1 High Flax (2017),410,$130,$109
Jordan 1 Retro David Letterman,564,$103,$110
adidas NMD R1 Core Black Carbon,250,$150,$114
Nike Cortez Basic Leather Forrest Gump (2017),304,$110,$115
adidas NMD R2 Japan Core Black,336,$140,$123
adidas NMD R1 Sashiko Black,717,$115,$124
Jordan 1 Retro Metallic Navy (2016),871,$175,$130
Jordan 12 Retro Flu Game 2016 (GS),180,$132,$130
Jordan 12 Retro Flu Game 2016 (GS),180,$132,$130
Converse Chuck Taylor All-Star 70s Hi Comme des Garcons PLAY Black,273,$180,$147
Nike SB Dunk Low Black Pigeon,1945,$200,$149
Air Max 97 Bronze,41,$150,$155
adidas NMD R1 Gum Pack White,1904,$185,$155
Air More Money White Black Team Red,74,$150,$160
Jordan 5 Retro White Cement,694,$182,$165
Jordan 10 Retro Cool Grey,175,$165,$170
Jordan 8 Retro Chrome (2015),400,$200,$172
Nike Zoom Vapor AJ3 Atmos Jade,371,$278,$174
Air VaporMax Grey Multi-Color,63,$162,$175
Jordan 5 Retro Metallic White (2015),627,$204,$179
adidas Ultra Boost 3.0 Triple Grey,946,$250,$184
Jordan 4 Retro Columbia (2015),900,$225,$187
Jordan 3 Retro Sport Blue,929,$250,$189
Jordan 6 Retro Infrared White (2014),902,$266,$190
Jordan 1 Retro High Los Primeros,746,$301,$195
Jordan 4 Retro 30th Anniversary Laser,979,$271,$195
Jordan 11 Retro Low Barons,3117,$273,$199
Air VaporMax SE Laceless Triple Black,217,$220,$200
Jordan 6 Retro Black Cat,1485,$225,$210
Jordan 4 Retro 11Lab4 Black,612,$275,$210
Air More Uptempo Bulls Hoops Pack (2017),1314,$275,$210
Jordan 11 Retro Low Cherry (2016),1813,$221,$211
LeBron 15 Performance KITH Suit Of Armor,139,$500,$220
adidas Ultra Boost 3.0 Oreo,4777,$250,$222
Jordan 7 Retro Bordeaux (2015),1390,$228,$224
Jordan 12 Retro Deep Royal Blue,2838,$220,$224
Jordan 11 Retro Low Bred,1640,$347,$238
Jordan 6 Retro Pinnacle Promo Flight Jacket,489,$267,$249
LeBron 15 Diamond Turf,237,$400,$260
Kyrie 3 Mamba Mentality Bruce Lee,841,$302,$270
adidas AlphaEdge 4D Ash Green,281,$650,$310
Jordan 3 Retro White Cement (2011),488,$330,$313
Nike Cortez Kenny 2 Kendrick Lamar Kung Fu Kenny,335,$490,$340
LeBron 15 Performance KITH King's Cloak,370,$701,$360
Jordan 1 Retro Chicago (2015),1203,$701,$400
adidas Yeezy Boost 350 V2 Core Black Copper,883,$717,$685
adidas Yeezy 500 Blush,311,$955,$732
adidas Harden Vol. 1 Ash Pearl,49,$110,$73
